time,made,years,week,officials,people,year,president,including,long,make,national,called,told,today,state,wednesday,month,asked,don
food,relief,medicine,red,humanitarian,supplies,cross,hepatitis,shipments,aid,tons,agency,shortages,cash,official,pledged,truck,deliveries,victims,monitored
webb,grassley,contractors,carlucci,paisley,navy,consultants,investigation,pentagon,lehman,defense,department,justice,procurement,probe,investigative,secretary,promotion,naval,fbi
bentsen,quayle,ticket,lloyd,indiana,texas,dan,truman,orr,mate,jimmy,senator,roosevelt,sen,qualified,carter,ll,liberal,net,selection
takeshita,miyazawa,keidanren,recruit,scandal,tax,liberal,cabinet,japan,minister,resignation,reform,donations,federation,finance,business,noboru,governing,resign,political
steel,price,tons,increases,industry,prices,producers,capacity,average,import,users,metal,customers,largest,risen,fatigue,products,iron,tight,mills
social,medicare,benefits,boharski,security,income,elderly,program,disability,moynihan,introduced,medical,receiving,medicaid,poverty,retirement,payments,catastrophic,federal,bills
milken,drexel,storer,boesky,hsn,junk,wood,securities,insider,sentencing,bonds,kinder,conversion,bond,firm,joseph,financier,investments,lambert,trading
book,books,zubal,britannica,fiction,published,literary,write,publisher,wrote,writing,awards,writes,author,epstein,writer,edition,publish,random,editor
mexico,mexican,salinas,alvarez,carlos,border,revolutionary,ortega,institutional,camarena,officials,universities,inspection,fence,de,authorities,city,latin,outspoken,texas
report,gao,program,accounting,brilliant,general,system,delays,schedule,introduction,house,investigative,summary,cost,segment,operations,hearing,issued,released,problems
jackpot,sales,lottery,tickets,ticket,million,wine,depends,california,cooler,drawing,consumption,prize,paid,beer,premium,sold,estimate,weekly,winning
shark,lake,water,galveston,river,mussels,erie,boat,neill,shore,swim,feet,beaches,ashore,santiago,mouth,allen,fishing,sea,supply
epa,chemicals,violations,pesticides,pesticide,water,cleanup,enforcement,systems,agency,standards,dean,hazardous,act,violation,drinking,waste,federation,monitoring,affecting
jersey,fish,california,lautenberg,england,failures,york,coats,maine,massachusetts,states,boston,northeastern,bradley,atlantic,hampshire,pennsylvania,columbia,required,percent
theater,ballet,opera,festival,stage,sang,debut,curtain,garden,center,play,kennedy,dance,performances,performed,wore,sing,rose,plays,opens
waste,garbage,recycling,ash,trash,dump,greenpeace,dumps,wastes,porter,dumping,environmental,municipal,solid,bury,hazardous,tons,bottle,city,refuse
walesa,solidarity,polish,poland,mazowiecki,jaruzelski,poles,strikes,warsaw,government,factories,message,communist,authorities,text,present,talks,factory,unrest,western
azerbaijan,armenian,armenia,karabakh,nagorno,baku,serbia,ethnic,tass,republic,republics,yugoslavia,refugees,authorities,crossed,nationalist,neighboring,agency,soviet,provided
haiti,aristide,namphy,avril,duvalier,haitian,jean,claude,herrera,dominican,thugs,electoral,au,impoverished,constitution,caribbean,roy,expelled,prince,massacre
women,saudi,saudis,arabia,female,wear,male,islam,arab,magazine,true,drivers,men,attitudes,setting,covering,don,educated,uniform,moslem
warming,environmental,global,dioxide,environment,pollution,environmentalists,carbon,forests,forestry,earth,summit,emissions,climate,pollutants,planet,sununu,leaders,greenhouse,communique
crime,horton,victims,victim,murders,rape,allen,furloughs,names,assault,criminal,furlough,mafia,fear,maryland,gang,law,willie,crimes,murder
inheritance,calif,campbell,william,pa,soup,johnson,john,indianapolis,nominate,henry,howard,estate,tyson,malone,buyouts,robert,fla,publishing,andrew
emperor,hirohito,duchess,imperial,princess,palace,royal,photographers,andrew,prince,queen,wedding,elizabeth,picture,agency,photo,blood,japan,ii,kyodo
tax,estate,deduction,gains,property,liability,capital,assets,incentives,rostenkowski,pension,amount,income,deductions,retirement,taxes,individual,break,avoid,breaks
cancer,cells,breast,gene,tumor,mice,cell,therapy,survival,treatment,tissue,researchers,stage,immune,treat,drugs,patient,patients,body,nature
aspirin,defects,shiley,merrell,fda,valve,patients,drug,defect,label,warning,pain,marketed,notify,dow,syndrome,pregnancy,recalled,joseph,company
sotheby,auction,christie,diamond,sale,brooks,art,bidding,sell,collection,million,gallery,buyer,monet,jewelry,sold,pounds,artist,pierre,owners
usda,ag,loans,pension,injunction,department,levin,lenders,office,agriculture,abuse,counsel,secretary,dole,fraud,wrongdoing,program,employees,inspector,maria
safety,farmer,accidents,deregulation,rural,administration,farmers,farm,enforcement,accident,labor,grow,workers,industrial,ministry,regulations,worker,philosophy,acknowledge,farms
soviet,soviets,syria,base,naval,shultz,moscow,mediterranean,bay,facility,submarines,samples,detailed,facilities,negotiations,expires,union,vessels,repair,gathering
club,meyers,clubs,quayle,membership,women,members,male,golf,admit,discrimination,distinguished,admitting,unaware,men,member,founded,milan,vote,stories
wings,icing,accidents,ice,accident,dc,fatal,crash,fatalities,dash,fatigue,involving,takeoff,buildup,rate,continental,charter,aviation,safety,testimony
cambodia,khmer,vietnamese,rouge,vietnam,remains,intelligence,montgomery,mitchell,war,robb,humanitarian,saunders,policy,missing,united,command,ties,delegation,communist
parents,children,study,weight,lang,drinking,epstein,drink,parental,child,assigned,researcher,patterns,alcohol,childhood,stress,research,findings,treatment,dr
reed,carpenter,benedict,tarver,extortion,state,flag,bribery,related,parole,legislature,racketeering,blacks,lawmaker,agent,accepting,charges,trooper,legislator,sting
art,museum,paintings,museums,collection,pieces,culture,works,baron,cultural,display,painter,century,duke,painting,rare,ransom,collections,mad,pop
iran,iranian,khomeini,tehran,khamenei,rafsanjani,iranians,islamic,tribunal,maneuvers,levy,revolution,survivors,radicals,parliament,ali,deals,constantly,exercises,monitored
canadian,energy,canada,electricity,mulroney,power,consumers,imports,electric,prize,resources,gas,fuel,utilities,coal,utility,generating,sources,opponents,carbon
stolen,thieves,theft,stealing,stamps,recovered,curator,keller,missing,sabotage,drain,tip,bags,stewart,discovered,cia,damage,lesser,higgins,wasn
fujimori,llosa,vargas,garcia,peru,shining,lima,path,runoff,coca,celebrated,insurgency,guerrillas,rebels,round,mario,villages,jungle,austerity,palace
savannah,bryan,forks,waste,reservoir,orr,river,vegas,las,corps,nelson,water,nevada,radioactive,nebraska,canyon,engineers,metropolitan,flood,harbor
butcher,teams,race,trail,bowl,marathon,team,spectators,championship,won,seconds,champion,score,mile,super,joe,runner,dog,fourth,beat
cnn,maxwell,macmillan,tapes,tape,conversations,rogers,craig,affidavit,broadcast,information,bulletin,taped,publishing,communications,recorded,emergency,message,calls,messages
simpson,veterans,wyoming,va,murphy,hampshire,sen,sens,establishment,mentioned,cabinet,craig,alan,shadow,conservatives,thomas,kemp,pete,conservative,baker
bakker,robertson,ptl,network,roberts,religious,heritage,christian,usa,charlotte,trustee,oral,ministry,satellite,pat,mill,cable,evangelist,broadcasting,baptist
species,wildlife,endangered,dam,thailand,habitat,butterfly,forest,conservation,forests,wipe,protected,oregon,nature,resources,golf,rare,natural,environmental,roads
barry,moore,mayor,cocaine,fbi,sources,grand,drugs,sting,jury,possession,crack,replied,perjury,jackson,prosecutors,enforcement,supporter,kenneth,marion
skinner,mpg,fuel,cars,highway,transportation,cafe,policy,roads,economy,standards,bond,gallon,auto,automakers,graham,traffic,riegle,gasoline,smaller
koch,mayor,mayors,flynn,city,cities,boston,island,deer,hunger,york,colorado,irish,immigrants,fairness,ward,big,borough,raymond,springs
birds,fish,hunting,water,trout,state,florida,turkey,offspring,winter,game,bird,deer,wood,protected,object,hunt,herbert,species,california
nabisco,rjr,pillsbury,duracell,foods,kraft,kravis,monte,kohlberg,alpo,del,food,cat,battery,conglomerate,tobacco,batteries,bids,vegetables,fruits
aliens,ins,immigration,illegal,alien,amnesty,apply,naturalization,nelson,eligible,detention,applicants,border,midnight,fiscal,deadline,immigrants,program,leo,citizenship
damages,punitive,award,shell,arco,insurance,travelers,awards,nielsen,arsenal,excessive,awarded,ruffin,distress,injury,commission,damage,jury,emotional,roberts
train,fe,santa,railroad,belgrade,rail,pacific,passenger,railroads,grande,southern,transit,rio,industries,doors,tracks,cars,transportation,crossing,linked
baghdad,chartered,americans,frankfurt,backup,britons,authority,charter,citizens,hostages,diplomats,embassy,cargo,airways,tokyo,parker,flights,kuwait,japanese,boucher
sikh,india,sikhs,temple,delhi,punjab,indian,hindus,singh,extremists,report,militants,slums,titled,news,shrine,golden,siege,vegetable,girls
imf,countries,bankers,fund,monetary,bank,world,zambia,poorest,banks,reserves,donors,nations,join,developing,international,leftists,lending,africa,agreed
menorah,christmas,teitelbaum,denny,tree,ms,restaurants,women,hotel,herrera,cards,lang,restaurant,install,beverly,hills,graduation,photo,topics,decided
quebec,copyright,de,provinces,mr,question,klerk,stability,negotiation,ratification,french,socialism,mandate,rights,consent,citizenship,constitution,century,africans,society
kasparov,karpov,chess,game,championship,played,anatoly,title,players,draw,player,games,draws,match,moves,knight,hall,play,master,champion
algeria,algerian,bendjedid,algiers,rabuka,indians,ali,mohawk,reservation,gambling,islamic,coup,ben,unemployment,fundamentalists,tribal,chiefs,indian,raid,ahmed
bus,greyhound,buses,volvo,driver,drivers,passengers,transportation,violence,interstate,company,phoenix,dallas,older,replacement,jacksonville,stranded,incidents,desperate,mills
jarvik,heart,combe,mirecki,device,martial,artificial,bryant,fda,swimming,transplant,temporary,recruit,assist,petty,pool,instructor,battery,morris,carl
honoraria,rep,fees,liabilities,gifts,salary,salaries,speaking,ga,members,paid,pa,dole,lewis,successor,senators,speeches,writing,robinson,assets
monastery,cemetery,burial,church,jesus,christ,pilgrims,orthodox,island,monks,roman,gates,tourists,christians,visitors,christmas,mass,traditional,holy,choir
spain,owen,spanish,nosair,kahane,barahona,suitcase,bail,barcelona,madrid,rabbi,photographer,juan,warren,stupid,palace,santiago,el,suspended,travel
demjanjuk,virginia,sheftel,kennedy,ivan,alexandria,survivors,robinson,camp,photographs,judges,cleveland,religion,wilson,terrible,humphrey,guard,va,chambers,west
halloween,teen,nida,gang,ager,crawford,cain,knife,branch,agers,mccarthy,gregory,shots,stabbed,michael,slaying,cousin,girl,neighborhood,fired
land,farmland,farming,acres,speculative,agricultural,farm,owned,rural,acre,younger,boom,corporations,collective,expertise,farms,holdings,genuine,expectations,agriculture
cable,tempo,nbc,channel,subscribers,television,programming,broadcasters,networks,telecommunications,network,tv,broadcasting,sports,arrangement,industry,business,enterprises,service,broadcasts
polaroid,shamrock,gold,travel,walters,fields,athletes,bloom,agents,express,consolidated,travelers,signing,suit,carter,anglo,fare,quality,entertainment,business
vietnam,broyles,war,footage,helicopter,film,documentary,afghanistan,show,capability,evacuation,mm,scenes,combat,nurse,series,hospital,rebel,intense,assault
turtles,postal,service,animal,samples,animals,marketing,nest,mail,customs,processing,survival,gray,mature,mailed,gulf,medicine,contract,surveyed,wild
wppss,settlement,conrail,florida,keys,klaus,coral,bondholders,bahamas,litigation,horn,tentative,state,collision,key,amtrak,agreed,islands,martinez,settle
symphony,orchestra,fleisher,musicians,conductor,concert,piano,music,baltimore,choir,players,stage,season,francisco,harvey,kevin,solo,guest,conducted,hand
bangladesh,potatoes,rivers,dhaka,laboratories,port,rice,totally,flood,destroyed,capital,fields,winter,people,waters,flying,coca,stripped,hunger,minister
teamsters,friedrick,fcc,presser,root,mccarthy,services,owned,regulated,distance,stations,communications,bell,commission,companies,rule,baby,receipts,telephone,local
convoy,customs,breeze,ashland,bridge,atkins,brien,iran,vehicles,helicopters,sale,deal,trucks,perez,confidential,arrange,pass,helicopter,informant,eventual
batus,microbe,farmers,corn,pesticide,insurance,mormon,greenhouse,engineered,altered,illinois,crop,approved,carlson,environmental,agriculture,plant,idaho,dishes,regulators
bono,divorce,getz,peaks,laura,twin,marriage,pie,penn,cher,episode,log,character,loving,cooper,tv,lodge,jay,interview,abc
revco,junk,debt,leveraged,bondholders,corporate,institutional,situations,corporation,investors,deals,takeovers,buyouts,borrowed,bond,buyout,shelters,incentive,analyst,restructuring
toussaint,gotner,graves,bodies,buried,shipyard,cemetery,stalin,officers,bones,victims,regret,massacre,forgotten,deemed,captured,killings,truth,relatives,dug
trump,asylum,casino,refugees,refugee,immigration,hotel,romanian,coach,wilshire,hart,scott,violating,requirements,developer,determination,pledged,britain,arrive,department
bills,trailer,aluminum,electricity,bundesbank,dam,currency,green,basis,auction,secondary,movements,rationing,daily,completion,exempt,marks,circulation,replaced,sold
humphrey,pekin,college,classroom,campus,disciplinary,women,staffers,controversy,grandmother,cole,cook,cosby,vocal,promising,regret,students,professor,reverse,graduates
sakharov,nobel,teresa,prize,algotson,sadat,mother,nuns,peace,winner,charity,guests,peacekeeping,dying,postponed,moslem,afghanistan,walker,sidewalk,hundred
artifacts,archaeologists,anasazi,balcony,ruins,circles,mash,reverse,theory,rocks,tomb,grand,maryland,apple,dug,stone,lived,historic,mystery,verde
committee,panel,tissue,advisory,existing,unauthorized,guidelines,times,jones,line,request,monitor,chairman,broader,relative,ban,established,implementation,custom,murray
