elegans,caenorhabditis,nematode,results,found,single,observed,study,model,evidence,addition,present,examined,suggest,type,high,experiments,number,role,similar
tra,fem,sex,determination,sexual,fog,male,xx,xo,female,determining,hermaphrodite,hermaphrodites,spermatogenesis,males,sdc,sexes,line,gf,germ
map,sdf,linkage,lethal,region,left,mndp,unc,dpy,chromosome,mapped,deficiencies,group,interval,iv,units,lg,mutations,heterozygotes,breakpoints
gel,purified,electrophoresis,chromatography,purification,proteins,protein,weight,soluble,gels,polyacrylamide,column,fraction,sds,ph,filtration,affinity,labeling,labeled,crude
par,polarity,mex,asymmetric,axis,posterior,anterior,asymmetrically,asymmetry,pod,rotation,spn,embryo,division,cell,orientation,polarization,spindle,embryos,cortex
spindle,centrosome,cytokinesis,mitotic,microtubule,zyg,centrosomes,cyk,embryos,microtubules,anaphase,spindles,furrow,cleavage,mitosis,zen,division,centrosomal,sas,metaphase
genome,database,sequencing,sequence,project,mapping,data,map,projects,acedb,physical,information,throughput,genomic,proteome,mb,based,annotation,scale,databases
daf,insulin,sma,tgf,dbl,akt,pathway,signaling,igf,beta,receptor,smad,pten,pdk,lon,factor,lifespan,phosphatidylinositol,pathways,forkhead
ras,kinase,mek,sur,mpk,lin,raf,ksr,signaling,mapk,pathway,vulval,map,tyrosine,activated,mitogen,sem,erk,receptor,signal
unc,axon,guidance,axons,netrin,sax,axonal,outgrowth,migrations,cone,cones,cues,growth,dcc,branching,pioneer,guide,kal,migrating,circumferential
dna,sequences,repetitive,repeats,base,pairs,regions,repeat,coding,restriction,flanking,inverted,intergenic,kb,genome,fragments,fragment,tandem,bp,sequence
odr,olfactory,tax,sensory,neurons,odorant,chemotaxis,awc,chemosensory,osm,ash,avoidance,responses,awa,adaptation,odorants,stimuli,olfaction,attractants,cyclic
tc,transposon,transposable,element,elements,excision,transposition,insertion,transposons,insertions,transposase,mutator,strain,mut,bergerac,bristol,mariner,copies,ta,tagging
channel,channels,glutamate,gated,glr,chloride,clh,voltage,glucl,potassium,slo,currents,subunits,current,xenopus,avr,cl,subunit,oocytes,clamp
cells,morphogenesis,epidermis,hypodermal,fusion,cell,epithelial,epidermal,seam,shape,fuse,elongation,morphogenetic,hypodermis,hyp,syncytium,enclosure,epithelium,ventral,formation
mab,hox,egl,neuroblast,pal,patterning,posterior,hom,pax,lin,hindgut,homeotic,expression,gene,genes,ceh,anterior,antennapedia,pattern,anteroposterior
myosin,heavy,paramyosin,thick,chain,mhc,filament,myosins,filaments,rod,assembly,unc,chains,muscle,myo,wall,body,isoforms,assemble,rods
dauer,daf,larva,pheromone,larvae,formation,stage,recovery,constitutive,dauers,arrested,environmental,larval,food,developmentally,conditions,nondauer,dispersal,arrest,developmental
males,fitness,crosses,inbred,lines,traits,strains,stp,trait,deleterious,loci,bergerac,progeny,hermaphrodites,variation,mating,genetic,recombinant,history,fertilizing
muscle,wall,unc,body,muscles,mup,mua,contraction,lattice,myofilament,attachment,contractile,attachments,assembly,dense,thin,striated,bodywall,band,sarcomeres
lacz,expression,galactosidase,transgenic,fusion,promoter,transgene,reporter,gene,constructs,extrachromosomal,gfp,green,beta,fusions,transformation,plasmids,fused,marker,transgenes
lin,mir,heterochronic,timing,temporal,rnas,mirnas,micrornas,alg,developmental,regulatory,stage,rna,microrna,larval,switch,utr,precocious,mirna,events
compensation,dosage,dpy,sdc,xol,sex,chromosome,xx,determination,ratio,xo,mndp,linked,ydp,chromosomes,males,sexual,autosomes,sexes,dose
mes,germ,germline,line,gld,proliferation,glp,polycomb,soma,mitosis,meiosis,cells,stem,somatic,meiotic,daz,mitotic,sterile,oogenesis,gametes
mec,touch,deg,channel,enac,mechanosensory,degenerin,ion,mechanosensation,degenerins,amiloride,neurons,channels,mechanotransduction,gentle,needed,mechanical,unc,degeneration,na
sl,trans,spliced,leader,splicing,mrnas,rna,polycistronic,pre,operons,operon,gpd,mrna,snrnp,rnas,transcribed,end,upstream,cis,sm
unc,dpy,egl,mec,lin,che,bli,phm,lev,cat,exp,nervous,ace,daf,osm,mab,cha,rol,eat,vab
toxicity,soil,metal,metals,test,concentrations,aquatic,cu,testing,cd,ions,water,lc,copper,cadmium,pb,toxic,sediment,soils,exposure
elt,gata,promoter,cis,regulatory,transcription,upstream,elements,expression,enhancer,promoters,sites,factor,binding,factors,gene,element,transcriptional,specific,reporter
synaptic,unc,release,presynaptic,syntaxin,vesicle,vesicles,ric,rab,transmission,snt,neurotransmitter,neuromuscular,acetylcholine,aex,synapses,snb,syd,mutants,exocytosis
meiotic,recombination,sc,chromosomes,chromosome,pachytene,pairing,disjunction,synaptonemal,crossover,meiosis,nondisjunction,mnt,synapsis,rec,crossing,breaks,bivalent,spo,syp
sperm,spe,msp,spermatozoa,fer,spermatids,pseudopod,crawling,spermatogenesis,spermatocytes,fertilization,spermiogenesis,membranous,amoeboid,organelle,spermatid,motility,pseudopods,organelles,crawl
rnai,rde,rna,dsrna,interference,silencing,stranded,mut,double,dcr,sirnas,silenced,ego,antisense,sid,rrf,silence,trigger,systemic,gene
nerve,cord,neurons,ventral,nervous,motor,synaptic,neuronal,neurones,interneurons,system,avm,synapses,neuron,ring,cords,neural,connectivity,sensory,ganglia
glp,lag,notch,lin,sog,apx,interactions,cell,sel,ego,ligand,signaling,decision,egf,dsl,receptors,fate,receptor,dtc,transmembrane
parasitic,nematodes,ascaris,contortus,suum,free,living,haemonchus,nematode,plant,parasite,parasites,species,lumbricoides,fungi,helminths,meloidogyne,helminth,trapping,infective
heat,hsp,shock,stress,inducible,hsf,exposure,response,microwave,transgenic,crystallin,degreesc,heating,induced,stressors,hsps,induction,chaperones,chaperone,pc
electron,cuticle,layer,microscopy,ultrastructural,reconstruction,fibers,serial,section,um,sections,basal,layers,micrographs,structure,reconstructions,frozen,bodies,fibrous,nm
mog,fbf,nos,gld,translational,utr,puf,fog,translation,fem,untranslated,tges,tra,mrna,gli,repression,switch,laf,star,nanos
emb,temperature,sensitive,zyg,maternal,mutants,ts,embryonic,restrictive,arrest,permissive,zygotic,embryogenesis,sufficient,mutant,shift,stage,period,effect,gastrulation
oxidative,oxygen,mev,superoxide,sod,dismutase,stress,radicals,aging,ros,radical,damage,catalase,paraquat,span,egb,carbonyl,production,antioxidant,anion
species,pacificus,pristionchus,evolution,evolutionary,sp,rhabditidae,developmental,oscheius,nematodes,rhabditid,rhabditis,genus,nematoda,cew,acrobeloides,characters,vulva,genera,comparative
col,collagen,dpy,cuticle,sqt,collagens,rol,roller,collagenous,dumpy,cuticular,cuticles,exoskeleton,srl,lon,matrix,body,genes,bli,molt
laying,egl,serotonin,egg,dopamine,hsn,cat,dopaminergic,tph,serotonergic,bas,octopamine,neurotransmitter,hsns,behavioral,neurons,amines,vc,behaviors,biogenic
medium,axenic,briggsae,growth,liver,culture,cultivation,media,chemically,supplemented,dougherty,axenically,defined,nutritional,living,factor,supplement,extract,proteinaceous,free
unc,neurons,neuron,motor,pou,homeodomain,differentiation,va,vb,lineal,transcription,neuronal,expression,misexpression,ham,oct,homeoprotein,specific,express,fate
genes,rnai,expression,microarrays,microarray,genome,gene,clustering,transcriptome,interactome,interference,genomics,phenotypes,wide,enriched,rrf,rps,operons,functional,analysis
compounds,anthelmintic,avermectin,ivermectin,binding,nematocidal,affinity,mk,anthelmintics,potent,activity,microm,nematicides,nm,mg,nematicidal,derivatives,ba,dissociation,saturable
wnt,mom,pop,endoderm,bar,wrm,lit,apr,catenin,signaling,pry,tcf,end,hmp,lef,polarity,med,sgg,pathway,tlp
movement,tap,circuit,behavioral,locomotion,withdrawal,forward,reversals,response,reversal,touch,behavior,tracking,backward,reflex,neural,wave,network,plasticity,frequency
killing,host,virulence,pathogen,aeruginosa,pathogens,infection,salmonella,innate,immunity,pseudomonas,pathogenesis,immune,gram,toll,typhimurium,pa,bacterial,pathogenicity,kills
rad,radiation,repair,damage,checkpoint,dna,irradiation,uv,mre,hus,chk,ionizing,mrt,atl,irradiated,cep,fragmentation,hpr,induced,damaged
antibodies,antibody,monoclonal,antigen,anti,antigens,immunofluorescence,staining,antisera,react,antiserum,antigenic,immunoreactivity,polyclonal,immunoreactive,western,stain,raised,igg,immunocytochemical
fluorescence,microscopy,imaging,fluorescent,shg,images,lapse,image,optical,dimensional,microscope,video,technique,time,confocal,fixation,recordings,multiphoton,gfp,scanning
disease,human,neurodegenerative,amyloid,disorders,diseases,aggregates,abeta,patients,deposits,polyq,polyglutamine,syndrome,alzheimer,neurodegeneration,htt,degenerative,degeneration,ad,brain
che,osm,sensory,amphid,chemosensory,neurons,cilia,dyf,asi,ciliated,amphidial,endings,sensilla,daf,labial,neuron,phasmid,cilium,asj,fluorescein
mndf,sdf,ndf,edf,qdf,deficiencies,tdf,ydf,ctdf,mdf,hdf,itdf,ardf,ozdf,pvl,loci,stdf,madf,deficiency,zygotic
acr,nicotinic,acetylcholine,lev,nachr,levamisole,cholinergic,receptor,deg,agonists,agonist,receptors,nachrs,subunits,nicotine,des,drugs,ach,unc,alpha
gpa,goa,rgs,alpha,gpb,galpha,heterotrimeric,dgk,egl,gsa,signaling,eat,subunit,gpc,subunits,ggl,beta,protein,sag,gdp
epithelial,dlg,hmp,cadherin,junctions,basolateral,hmr,adherens,ajm,apical,junction,polarized,catenin,pdz,junctional,cdh,epithelia,cadherins,guanylate,adhesion
mitochondrial,trna,mitochondria,amber,succinate,respiratory,cytochrome,atp,cyt,gas,complex,mrc,reductase,tdna,oxidoreductase,oxidase,respiration,suppressor,fumarate,ii
kinase,cam,phosphorylation,kinases,calmodulin,phosphatase,serine,threonine,camkii,thr,phosphatases,ca,phosphorylated,ror,phosphorylates,tyrosine,dephosphorylation,dependent,cgmp,cepak
endocytosis,rme,membrane,cup,recycling,plasma,lrp,trafficking,endocytic,vesicles,clathrin,ap,lysosomal,apm,lysosomes,vesicle,syn,lipoprotein,golgi,localization
gonad,gonadal,sheath,oocyte,somatic,ovulation,gon,gonadogenesis,maturation,oocytes,oma,proximal,distal,sys,emo,ovary,spermathecal,arm,maturing,meiotic
intestinal,excretory,gland,digestive,buccal,pharynx,tract,cells,lbp,lumen,duct,capsule,punctata,ultrastructure,bulb,intestine,valve,radial,cavity,diplenteron
sh,fgf,sem,clr,soc,egl,myoblast,fibroblast,myoblasts,grb,rtks,fgfr,receptor,tyrosine,sex,sos,gonad,fgfs,sms,migration
flp,nlp,fmrfamide,farps,peptides,neuropeptides,af,neuropeptide,pf,farp,phe,amide,peptide,arg,strips,nh,suum,related,camp,actions
vit,sqv,vitellogenin,heparan,chondroitin,sulfate,vpe,rib,glycosaminoglycans,glycosaminoglycan,proteoglycans,vitellogenins,sulphate,ext,biosynthesis,invagination,uvt,proteoglycan,sci,acad
cyclin,cki,rb,cdc,cdk,cycle,cye,cyd,synmuv,efl,progression,dpl,tam,cul,cip,ncc,lin,phase,cks,synthetic
hcp,chromosomes,segregation,kinetochore,chromosome,scc,cohesion,sister,chromatid,centromere,smc,evl,cohesin,mitotic,holocentric,metaphase,kinetochores,rec,coh,chromatids
vab,ray,efn,rays,mab,ram,male,tail,morphogenesis,eph,ephrin,plx,sema,epidermal,semaphorin,copulatory,sensory,organ,alae,sma
ace,acetylcholinesterase,choline,ache,cha,acetyltransferase,acetyl,coa,cn,acetylcholinesterases,class,chat,thiolase,scpx,cholinesterase,forms,pm,acetylcholine,ach,uncoordinated
ceh,lim,homeobox,homeodomain,ase,zig,lhx,nkx,otx,dll,homeodomains,pou,gcy,gene,class,genes,orthologue,vertebrate,reporter,expresses
sel,presenilin,spr,hop,aph,ps,notch,presenilins,alzheimer,nicastrin,secretase,disease,pen,familial,ar,lin,processing,human,fad,activity
sterol,cholesterol,galectin,sterols,lectin,kda,carbohydrate,sitosterol,lectins,galectins,metabolism,delta,sugar,dehydrocholesterol,steroid,methyl,sugars,dietary,azacoprostane,nh
rac,exc,rho,gtpase,dock,gef,mig,gtpases,ra,fgd,gtp,exchange,guanine,cerac,elmo,excretory,rhoa,migration,canals,cdcce
fatty,fat,desaturase,acid,pufas,polyunsaturated,delta,omega,acids,pufa,desaturases,acyl,elo,arachidonic,linolenic,saturated,coa,storage,saccharomyces,lipid
migration,mig,migrations,posteriorly,migrate,ql,vab,anteroposterior,anteriorly,dtcs,tip,alm,migratory,descendants,directed,migrates,migrating,qr,dtc,dorsoventral
anesthetics,halothane,anesthetic,volatile,sensitivity,ethanol,isoflurane,unc,sensitivities,enflurane,stomatin,gas,stereoisomers,action,va,ec,immobility,authors,lipid,strains
splice,intron,introns,uaf,ag,site,splicing,donor,acceptor,exon,sf,consensus,sites,inserted,tpi,alternative,gc,exons,nt,cryptic
gly,glycans,glcnac,galnac,udp,gal,gnt,manalpha,acetylglucosaminyltransferase,oligosaccharides,glycosylation,beta,acetylglucosamine,galbeta,mannose,glycosyltransferases,glycan,transferase,glycoproteins,mannoside
codon,usage,selection,codons,bias,duplicate,synonymous,recombination,duplicates,tes,correlation,biases,rate,neutral,te,mutational,melanogaster,introns,ribosomal,genes
pkd,defecation,spicule,lov,male,dec,spicules,rhythm,mating,clock,rhythms,copulatory,circadian,behavior,bursa,males,ultradian,socket,vulva,flr
granules,germ,granule,cytoplasmic,mfs,microfilaments,cytoplasm,plasm,glh,pseudocleavage,line,pgl,cortical,helicases,zygotes,zygote,flows,helicase,cycle,interval
kinesin,klp,transport,ift,dynein,motor,cilia,retrograde,kinesins,cargo,anterograde,intraflagellar,motors,xbx,movement,flagella,dendrites,microtubule,monomeric,particles
food,social,biomass,npr,trophic,avenae,feeding,solitary,sand,microbial,web,aphelenchus,webs,predator,bacteria,microcosms,sp,natural,sampled,bacterial
hlh,dystrophin,dys,bhlh,myod,dystrophy,cemyod,dystrobrevin,muscular,dyb,helix,myogenesis,myogenic,mesodermal,cetwist,twist,muscle,cnd,duchenne,ccdf
reticulum,ca,er,endoplasmic,calcium,ip,ire,inositol,itr,trisphosphate,xbp,upr,store,intracellular,insp,stores,release,transients,rs,serca
ubc,ubiquitin,skr,cul,ligase,degradation,conjugating,skp,es,scf,ned,btb,ligases,cullin,nedd,conjugation,proteasome,box,ubiquitination,proteins
protease,proteases,cysteine,cathepsin,proteolytic,ice,aspartyl,enzyme,methyltransferase,converting,interleukin,inflammatory,proteinase,isoaspartyl,aspartic,centre,inhibitor,jdf,aspartate,asp
cyp,phy,pdi,prolyl,isomerase,hydroxylase,cyclophilin,tetramer,phs,subunit,hydroxylases,tetramers,beta,ec,enzymes,catalytic,isoenzymes,disulfide,enzyme,polypeptides
yeast,cerevisiae,telomere,pombe,saccharomyces,budding,schizosaccharomyces,telomeres,telomeric,fission,fli,replication,ura,mrt,hybrid,human,homolog,eukaryotic,chromatin,homologs
flu,mutagen,uv,enu,deletions,ethyl,deletion,ems,ultraviolet,tmp,sulfonate,mutagenesis,mutants,induced,mutagenized,pcr,frequency,irradiation,amplification,light
hydrolase,aminopeptidase,enzyme,mum,substrate,ap,nudix,ic,crystals,hydrolases,km,angstrom,purified,diadenosine,tetraphosphate,inhibited,prpp,coa,substrates,fold
mei,mel,mlc,mbk,katanin,nmy,severing,nonmuscle,shmt,meiosis,myosin,mitosis,meiotic,phosphatase,ct,elongation,redundant,maternal,pfn,contractile
actin,cofilin,adf,depolymerizing,aip,filament,polymerization,filaments,cytoskeleton,myofibrils,cetm,unc,tropomyosin,dynamics,act,disassembly,severing,bundling,thin,turnover
eat,pumping,pharyngeal,pharynx,glutamatergic,relaxation,mc,action,feeding,intake,excitable,exp,ivermectin,food,muscle,resting,excitation,electrical,duration,contraction
isocitrate,lyase,glyoxylate,synthase,malate,enzymes,dehydrogenase,glycogen,alcohol,activities,enzyme,extracts,adh,fructose,cycle,phosphates,nadh,phosphatase,activity,hr
gar,receptor,receptors,cho,hamster,ser,muscarinic,hek,machr,coupled,transfected,acetylcholine,cos,ovary,evoked,cells,ligand,glycoprotein,cdna,intracellular
dna,skn,tca,binding,groove,bzip,helix,basic,zipper,domain,segment,bind,heterodimer,binds,leucine,arm,contacts,minor,monomer,element
glycerol,acid,cycloheximide,acetate,amino,acids,folic,histidine,aqp,excretion,radioactive,labelled,briggsae,glucose,carbon,carbohydrate,vitamins,phenylalanine,biochemistry,methionine
zinc,finger,pag,fingers,ccch,zn,bdu,zag,ncl,ch,moe,transcription,motifs,protein,mndf,factor,encodes,box,repressor,terminal
pat,integrin,ina,ecm,integrins,adhesion,vinculin,focal,matrix,adhesions,ilk,talin,epi,laminin,extracellular,perlecan,deb,cell,alpha,beta
transporter,transporters,vesicular,transport,opt,dif,nhx,proton,na,abc,cenadc,ff,uptake,mammalian,rat,transmembrane,carrier,organic,affinity,choline
ife,ama,amanitin,cap,polymerase,eife,capping,rna,cel,ii,caps,capped,gtp,mdf,mdp,initiation,mrna,enzyme,largest,isoforms
nhr,nr,cyclase,guanylyl,chr,gcy,nuclear,fax,hormone,cyclases,nrs,receptor,receptors,orphan,molting,ecdysone,superfamily,steroid,ligand,gc
ges,esterase,gut,wgatar,pho,markers,expression,marker,deleted,intestine,pharynx,isoelectric,focusing,lineage,tail,gene,biochemical,dna,synthesis,intestinal
redivivus,panagrellus,aceti,turbatrix,glycines,nematodes,heterodera,living,lips,free,juveniles,species,females,digestion,fish,cyst,agent,variability,briggsae,sexes
clk,coq,diet,ubiquinone,uq,dmq,coenzyme,biosynthesis,qm,mitochondrial,fed,mitochondria,respiration,carbon,dietary,coli,rhythmic,electron,slowing,mutants
tubulin,microtubules,tbb,microtubule,tba,gamma,tubulins,protofilaments,isotypes,protofilament,alpha,heterodimers,isotype,beta,links,maps,cross,gtp,map,mol
habituation,learning,training,memory,associative,lrn,isi,conditioning,term,interstimulus,retention,interval,nonassociative,long,ky,recovery,intervals,worms,kinetics,cold
iv,basement,collagen,clb,sparc,nid,membranes,nidogen,nc,cle,alpha,type,membrane,matrix,interstitial,emb,chains,extracellular,collagens,triple
isoforms,alternative,splicing,isoform,rh,ftt,transcripts,smu,locus,alternatively,exons,encodes,mrna,pre,hot,exon,diversity,perlecan,spliced,promoters
hda,cbp,chromatin,nurd,histone,transcriptional,mep,repression,nucleosome,deacetylase,egr,pcg,ea,repressors,corepressor,coactivator,rba,repressor,chd,silencing
ttx,temperature,thermal,afd,thermotaxis,aiy,thermosensory,temperatures,acclimatization,tax,thermosensation,cultivation,aiz,interneuron,fertility,gradient,adaptation,degrees,behavior,generations
lamin,nuclear,emerin,tbx,envelope,ce,npp,anc,gp,lem,man,nup,npcs,lamins,nucleoporins,pore,anchoring,box,nuclei,lmn
rrna,ro,rna,ribosomal,rop,poly,ribosome,rrnas,ribonucleoprotein,rbd,rnp,rdna,secondary,rrm,rnas,biogenesis,nucleolar,particles,synthesis,cey
mass,spectrometry,ms,resonance,proteomics,nmr,assisted,phosphorylcholine,ionization,glycosphingolipids,throughput,peptides,magnetic,flight,liquid,spectroscopy,chromatography,structural,dimensional,gpc
pha,pharyngeal,peb,organ,subelement,pharynx,nk,enhancer,myo,ceh,muscles,expression,muscle,ectopic,activity,rectum,identity,active,organogenesis,cardiac
taf,transcription,ctd,cdk,ii,spt,polymerase,tefb,cak,tbp,pol,tlf,phosphorylation,skip,elongation,metazoan,csk,ser,rna,broadly
twitchin,immunoglobulin,ig,giant,titin,pfam,fibronectin,zig,markov,titins,elastic,dim,igsf,myotactin,superfamily,domains,hidden,protein,bands,muscle
srf,surface,charge,coat,lectins,wga,flow,membrane,lectin,ferritin,cuticle,attached,negative,trapping,wheat,movement,binding,switching,components,tip
left,handedness,asymmetry,nsy,bilaterally,aser,asel,symmetrical,symmetric,asymmetries,handed,symmetry,str,bilateral,gcy,asymmetrical,asymmetric,sek,twist,reversed
uterine,ac,nex,vu,cog,uterus,connection,annexin,pi,anchor,presumptive,spermathecal,invasion,ppp,ventral,vulva,aaa,valve,seam,reciprocal
ef,tu,trnas,mt,eft,psi,mitochondrial,trna,suum,mtdna,tv,ts,loop,acceptor,nucleotides,arm,elongation,mitochondria,tertiary,ascaris
smg,surveillance,nmd,nonsense,rpl,decay,mrnas,mrna,backgrounds,stop,codons,spliced,premature,alternatively,degraded,degradation,termed,tested,express,unc
pkc,tpa,phorbol,apkc,cka,pkcb,ester,esters,adapter,atypical,kinase,ptb,diacylglycerol,tumor,promoters,tumour,isoforms,protein,promoter,revealed
volvulus,gst,filarial,malayi,ov,onchocerca,brugia,glutathione,tre,cyclophilins,parasite,parasitic,transferase,trehalose,divergent,nematodes,infective,upregulation,nematode,immune
mushroom,poona,bisporus,mug,compost,agaricus,mycelial,seeds,pea,serotype,mushrooms,colonies,rhizosphere,inoculum,bacteria,inoculation,cultivated,fluorescens,enterica,bacillus
pgp,toxin,bt,toxins,bre,thuringiensis,mrp,nematicidal,bacillus,glycoprotein,glycoproteins,crystal,resistance,toxicity,intestinal,nematodes,insects,hold,toxic,mixtures
ce,akap,caveolin,cav,rdh,tethering,cds,xpa,rii,ri,residues,af,anchor,cdnas,cl,leu,termed,lim,pi,shift
dnase,dna,endonuclease,crn,nuc,cps,replication,degradation,nuclease,div,foreign,nuclei,nuclear,ii,delayed,presence,weight,chromosomal,released,contained
mt,mts,mtl,cadmium,hg,metallothionein,wee,cd,metal,cys,cemt,mercury,responsive,detoxification,ii,heavy,mrna,min,induction,higher
histone,jnk,hb,histones,ha,hbl,jkk,calf,hairpin,hunchback,hbp,mkk,urea,thymus,linker,core,primary,subtypes,chromatin,consists
ml,ug,vitamin,micrograms,mu,des,concentration,eggs,mg,hatching,inhibition,inhibited,concentrations,excess,effect,toxic,requirements,elegans,dr,selected
gaba,gabaergic,aminobutyric,ivm,enteric,sphincter,gamma,decarboxylase,inhibitory,neurotransmitter,acid,exp,excitatory,glutamate,glutamic,slightly,brain,activation,ba,conclude
gpr,gap,inx,innexins,junctions,pulling,spindle,forces,innexin,positioning,junction,force,poles,coupling,acting,intercellular,governing,net,positioned,initiate
hdp,hdf,breakage,sdp,duplications,hin,chromosome,bli,spontaneous,duplication,mitotic,postulate,structures,sequences,proposal,applications,analyzed,genome,early,phenomenon
air,aurora,bir,tac,icp,incenp,cytokinesis,tacc,kinase,zen,segregation,depleted,kinases,rnai,recruitment,maturation,transforming,localization,background,acts
sr,mag,sap,export,srm,srp,nxf,aly,rsp,ejc,rnai,ref,splicing,mrna,rnp,resulted,simultaneous,cleavage,exon,injected
dom,hs,humic,pyrene,bioconcentration,organic,dissolved,matter,substances,doc,refractory,coefficients,partition,contact,effect,effects,quantity,relationship,habitat,promotion
cb,fkh,hnf,fh,ppc,pes,ce,fork,forkhead,fa,hfem,redundancy,cr,cc,head,briggsae,alpha,remanei,similarity,orf
survival,mortality,gompertz,parameter,regression,logistic,fit,curves,swi,data,parameters,values,curve,time,model,effects,profiles,estimates,experiments,population
beta,spectrin,ceglc,cp,tannins,alpha,condensed,met,sma,subunits,transition,subunit,polarity,depletion,immunoblot,stability,preparation,dependent,vertebrate,showed
hif,oxygen,hypoxia,dauerlarvae,tolerance,ahr,consumption,tension,acclimation,aha,anaerobic,metabolic,anoxia,conditions,deprivation,ac,thermal,inducible,upregulation,survive
filaments,cores,thick,assemblies,core,assemblages,filagenin,subfilaments,dynamical,paramyosin,structures,tubules,rigid,tubular,nascent,nm,mu,proteins,pm,assembled
sra,srg,ryanodine,ryr,srb,kh,chemoreceptor,srd,str,sre,asg,chemosensory,receptor,asi,receptors,repressed,expression,fourteen,putative,genes
subunit,casein,heparin,ckii,alpha,telomerase,catalytic,kinase,camp,proteasome,subunits,ii,mr,particulate,translational,polypeptide,dependent,residues,eukaryotic,cytosolic
mif,cct,dod,tcp,ce,vit,smt,gpd,proteome,col,hsp,spots,lbp,kin,act,lrp,twk,asp,gcy,mlc
vha,atpase,vacuolar,mca,atpases,cua,copper,subunit,chem,na,subunits,yeast,acidic,type,strongly,alpha,expressed,disease,sp,mutation
ph,dynamin,dyn,adm,dh,pleckstrin,mdeg,phospholipid,drp,ehs,gtpase,domain,phospholipids,domains,disintegrin,homology,polarization,dbl,sh,intracellular
kin,src,abl,tyrosine,ptk,rcm,ptks,gr,csk,kinases,sh,kinase,mes,oncogene,percent,steroid,freeze,extracellular,bursa,release
bz,mebendazole,ben,benzimidazole,colchicine,mbz,albendazole,thiabendazole,drug,drugs,tubulin,resistant,resistance,treated,susceptible,profiling,binding,susceptibility,log,strains
troponin,ncs,tmy,tropomyosin,nckx,csq,pat,tnc,ca,calcium,lev,potassium,site,termination,binding,survived,bind,demonstrate,domain,show
peroxisomes,peroxisomal,catalase,peroxidase,hydrogen,peroxide,pts,peroxisome,prx,cyanide,ho,targeting,biogenesis,oxidase,ph,hr,matrix,rnai,active,import
app,abf,antimicrobial,apl,peptide,xnp,feh,amyloid,fe,cs,peptides,wt,beta,similar,precursor,production,hydrophilic,dp,type,redundant
ptp,max,ferm,lar,thesaurus,op,tyrosine,phosphatases,phosphatase,automatic,domain,electronic,termini,researchers,names,receptor,experiment,concepts,preference,localization
trp,ocr,trpv,gon,gem,osm,channels,channel,cation,osmotic,transduction,tax,transient,gonadal,touch,subfamilies,families,zk,characteristics,suicide
ia,bli,kex,pc,kpc,proprotein,convertase,subtilisin,ida,blistering,endoproteases,arg,neuroendocrine,secretory,dense,cleavage,serine,attenuated,sites,cuticle
dye,dyes,ly,communication,cephalobus,nacl,fluorescent,gut,reactive,blue,material,marker,primordium,coupling,neurones,intercellular,transfer,developing,uptake,progressively
wd,dhp,musculus,mus,pitx,mitop,gad,tri,repeats,coverage,mouse,repeat,motifs,approximate,di,man,saccharomyces,cerevisiae,method,interspecies
ran,ima,importin,ntf,nuclear,envelope,import,export,gtpase,transport,nucleus,localization,alpha,factors,cytoplasm,reducing,acyl,leads,resulted,interesting
gpd,ldh,dehydrogenase,glyceraldehyde,phosphate,dehydrogenases,oscillin,isozymes,isoenzymes,rich,flanking,introns,exhibits,placement,identity,pvd,coli,bovine,correspond,block
