M,K,V,alpha,beta,gamma
5940,21,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,22,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,23,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,24,6079,0.10000,0.01000,1.00000
5940,25,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,25,6079,0.10000,0.01000,1.00000
5940,25,6079,0.10000,0.01000,1.00000
5940,25,6079,0.10000,0.01000,1.00000
5940,25,6079,0.10000,0.01000,1.00000
5940,25,6079,0.10000,0.01000,1.00000
5940,25,6079,0.10000,0.01000,1.00000
5940,25,6079,0.10000,0.01000,1.00000
5940,25,6079,0.10000,0.01000,1.00000
5940,25,6079,0.10000,0.01000,1.00000
5940,25,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,25,6079,0.10000,0.01000,1.00000
5940,25,6079,0.10000,0.01000,1.00000
5940,25,6079,0.10000,0.01000,1.00000
5940,25,6079,0.10000,0.01000,1.00000
5940,25,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,27,6079,0.10000,0.01000,1.00000
5940,27,6079,0.10000,0.01000,1.00000
5940,27,6079,0.10000,0.01000,1.00000
5940,27,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
5940,26,6079,0.10000,0.01000,1.00000
